nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
"Tomás Gutiérrez,fútbol,28.0,""56,5"",201.0,47.0,16.8,8.06,MEDIOCAMPISTA"
Paola Romero,Atletismo ,42.0,88.7,185.0,66.0,,7.75,nadador
"Matías Silva,baloncesto,25.0,76.7,177.0,74.0,""18,1"",4.66,Nadador"
Rodrigo Sandoval,Boxeo,18.0,58.7,163.0,70.0,,5.42,delantero
"Fernanda Jiménez,FUTBOL,19.0,68.6,199.0,53.0,""23,7"",8.22,ciclista"
Diego Torres,natacion,44.0,93.6,197.0,,23.7,4.14,defensa
"Sebastián Rojas,NATACIÓN,25.0,102.6,183.0,57.0,""15,6"",7.16,PORTERO"
"Alicia Campos,ATLETISMO,20.0,77.1,196.0,75.0,""20,2"",4.81,DELANTERO"
Catalina Mora,Voleibol,29.0,73.7,183.0,55.0,24.0,9.76,DELANTERO
Isabella Castro,Tenis,37.0,68.1,187.0,76.0,12.8,6.75,Defensa
"Roxana Salinas,ATLETISMO,21.0,""71,3"",197.0,55.0,20.6,3.13,Corredor"
"Valentina Ramírez,Tennis,16.0,""73,3"",,59.0,15.0,8.55,Ciclista"
Luis Parra,natacion,35.0,99.3,181.0,86.0,14.1,5.02,Nadador
"Ricardo Álvarez,NATACIÓN,24.0,""72,9"",199.0,,""21,9"",3.54,"
Carolina Ríos,Natacion,32.0,74.0,201.0,57.0,24.4,1.76,DEFENSA
"Sofía Hernández,Ciclismo,16.0,""81,1"",164.0,79.0,7.3,3.62,nadador"
"Pedro Rodríguez,Baloncesto,44.0,""102,3"",159.0,80.0,""12,5"",5.18,Delantero"
Andrés Flores,Atletismo,27.0,86.8,192.0,60.0,22.2,2.88,DELANTERO
Ignacio Peña,Natación,44.0,,177.0,59.0,17.7,9.55,Defensa
"Ana Martínez,ATLETISMO,32.0,""81,9"",183.0,60.0,24.3,5.75,ciclista"
Patricio Bravo,tenis,26.0,94.9,175.0,57.0,13.7,5.42,ATACANTE
"Fernanda Jiménez,Atletismo,16.0,""56,3"",183.0,75.0,,3.56,portero"
Marcela Varela,tenis,38.0,104.0,174.0,88.0,17.9,6.59,PORTERO
Gonzalo Fuentes,fútbol,32.0,,171.0,66.0,19.3,9.83,CICLISTA
Gonzalo Fuentes,atletismo,39.0,90.3,184.0,86.0,,9.87,ciclista
Fernanda Jiménez,Voleibol,36.0,89.9,184.0,50.0,13.6,5.71,delantero
Roberto Castillo,Volleyball,34.0,100.7,186.0,55.0,120.0,1.28,DEFENSA
Roxana Salinas,ciclismo,26.0,98.6,184.0,52.0,13.0,1.93,corredor
"Patricio Bravo,Ciclismo,25.0,98.2,166.0,76.0,""3,2"",5.88,corredor"
María González,ciclismo,45.0,83.2,162.0,67.0,21.7,7.79,Corredor
"Mónica Ortega,fútbol,22.0,83.8,173.0,60.0,""18,0"",6.17,Ciclista"
Marcela Varela,natacion,22.0,67.4,199.0,72.0,15.5,3.93,PORTERO
"Pedro Rodríguez,rugby,18.0,75.9,196.0,84.0,""5,0"",9.08,portero"
"Andrés Flores,FUTBOL,42.0,57.3,186.0,86.0,""18,5"",6.03,Nadador"
Héctor Suárez,natació,31.0,89.3,194.0,85.0,8.5,9.88,ATACANTE
