nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Tomás Gutiérrez,Fútbol,28.0,56.5,201.0,47.0,16.8,8.06,MEDIOCAMPISTA
Matías Silva,Baloncesto,25.0,76.7,177.0,74.0,18.1,4.66,Nadador
Fernanda Jiménez,Fútbol,19.0,68.6,199.0,53.0,23.7,8.22,ciclista
Diego Torres,Natación,44.0,93.6,197.0,69.50026329647183,23.7,4.14,defensa
Sebastián Rojas,Natación,25.0,102.6,183.0,57.0,15.6,7.16,PORTERO
Alicia Campos,Atletismo,20.0,77.1,196.0,75.0,20.2,4.81,DELANTERO
Catalina Mora,Voleibol,29.0,73.7,183.0,55.0,24.0,9.76,DELANTERO
Isabella Castro,Tenis,37.0,68.1,187.0,76.0,12.8,6.75,Defensa
Roxana Salinas,Atletismo,21.0,71.3,197.0,55.0,20.6,3.13,Corredor
Valentina Ramírez,Tenis,16.0,73.3,179.5617088607595,59.0,15.0,8.55,Ciclista
Luis Parra,Natación,35.0,99.3,181.0,86.0,14.1,5.02,Nadador
Ricardo Álvarez,Natación,24.0,72.9,199.0,69.50026329647183,21.9,3.54,
Carolina Ríos,Natación,32.0,74.0,201.0,57.0,24.4,1.76,DEFENSA
Sofía Hernández,Ciclismo,16.0,81.1,164.0,79.0,7.3,3.62,nadador
Pedro Rodríguez,Baloncesto,44.0,102.3,159.0,80.0,12.5,5.18,Delantero
Andrés Flores,Atletismo,27.0,86.8,192.0,60.0,22.2,2.88,DELANTERO
Ana Martínez,Atletismo,32.0,81.9,183.0,60.0,24.3,5.75,ciclista
Patricio Bravo,Tenis,26.0,94.9,175.0,57.0,13.7,5.42,ATACANTE
Marcela Varela,Tenis,38.0,104.0,174.0,88.0,17.9,6.59,PORTERO
Fernanda Jiménez,Voleibol,36.0,89.9,184.0,50.0,13.6,5.71,delantero
Roxana Salinas,Ciclismo,26.0,98.6,184.0,52.0,13.0,1.93,corredor
Patricio Bravo,Ciclismo,25.0,98.2,166.0,76.0,3.2,5.88,corredor
María González,Ciclismo,45.0,83.2,162.0,67.0,21.7,7.79,Corredor
Mónica Ortega,Fútbol,22.0,83.8,173.0,60.0,18.0,6.17,Ciclista
Marcela Varela,Natación,22.0,67.4,199.0,72.0,15.5,3.93,PORTERO
Pedro Rodríguez,Rugby,18.0,75.9,196.0,84.0,5.0,9.08,portero
Andrés Flores,Fútbol,42.0,57.3,186.0,86.0,18.5,6.03,Nadador
Héctor Suárez,Natación,31.0,89.3,194.0,85.0,8.5,9.88,ATACANTE
Mauricio Vega,Fútbol,21.0,94.0,177.0,52.0,24.0,4.26,ciclista
Felipe Muñoz,Baloncesto,25.0,92.7,200.0,84.0,8.6,6.75,delantero
Tomás Gutiérrez,Tenis,16.0,89.7,187.0,85.0,16.8,8.81,corredor
Camila Díaz,Atletismo,39.0,96.8,162.0,87.0,9.9,9.74,DEFENSA
Manuel Leal,Natación,44.0,99.8,181.0,72.0,20.4,7.85,CICLISTA
Roxana Salinas,Rugby,150.0,99.9,170.0,90.0,5.4,5.552869109947644,defensa 
Marisol Figueroa,Ciclismo,44.0,73.0,179.0,73.0,6.6,6.63,CORREDOR
Lorena Mendoza,Tenis,16.0,56.5,195.0,46.0,7.8,3.21,DEFENSA
María González,Atletismo,18.0,82.6,191.0,74.0,15.1,6.33,CICLISTA
Manuel Leal,Fútbol,27.0,82.2,200.0,73.0,24.2,5.45,Corredor
Camila Díaz,Ciclismo,20.0,72.3,192.0,56.0,19.6,5.96,CICLISTA
Eduardo Soto,Voleibol,27.0,99.0,183.0,60.0,6.5,1.74,ATACANTE
Tomás Gutiérrez,Fútbol,36.0,89.6,164.0,63.0,20.4,15.0,Corredor
Felipe Muñoz,Tenis,45.0,68.3,196.0,61.0,12.9,7.93,DEFENSA
Pedro Rodríguez,Voleibol,43.0,91.1,171.0,52.0,20.0,6.95,CORREDOR
Héctor Suárez,Rugby,40.0,57.2,193.0,73.0,12.6,8.12,defensa
Carlos Pérez,Fútbol,39.0,96.2,165.0,69.50026329647183,23.6,6.35,Nadador
Ricardo Álvarez,Tenis,38.0,75.3,175.0,56.0,17.7,9.1,Mediocampista
Gabriela Morales,Natación,25.0,80.9,166.0,53.0,21.9,7.37,Portero
María González,Voleibol,30.0,56.2,183.0,85.0,21.9,1.29,MEDIOCAMPISTA
Camila Díaz,Fútbol,21.0,99.8,174.0,10.0,3.3,1.22,defensa 
Paola Romero,Rugby,38.0,104.1,167.0,47.0,22.4,8.06,
Héctor Suárez,Baloncesto,34.0,56.1,185.0,52.0,11.9,8.02,Defensa
Camila Díaz,Natación,35.0,97.7,173.0,80.0,24.1,2.94,Nadador
Marisol Figueroa,Fútbol,28.0,95.7,182.0,60.0,16.6,8.04,Mediocampista
Marcela Varela,Atletismo,26.0,65.6,188.0,90.0,15.1,4.23,Portero
Cristian Medina,Fútbol,45.0,80.0,182.0,63.0,13.6,4.58,NADADOR
Roxana Salinas,Baloncesto,27.0,66.7,178.0,60.0,5.1,5.82,delantero 
María González,Natación,16.0,96.5,192.0,47.0,10.5,5.552869109947644,NADADOR
Patricia Ramos,Atletismo,25.0,62.8,186.0,63.0,8.5,6.15,Delantero
Pilar Contreras,Voleibol,26.0,71.2,167.0,88.0,12.3,5.61,Mediocampista
Claudia Herrera,Atletismo,21.0,67.9,177.0,90.0,24.7,4.65,
Ricardo Álvarez,Fútbol,42.0,76.4,179.5617088607595,84.0,14.0,9.5,Mediocampista
Luis Parra,Natación,16.0,64.9,179.0,57.0,24.6,7.14,Defensa
Rodrigo Sandoval,Voleibol,44.0,63.3,188.0,47.0,6.7,4.49,MEDIOCAMPISTA
Rodrigo Sandoval,Boxeo,28.0,101.2,179.0,59.0,4.0,8.94,MEDIOCAMPISTA
Juan López,Voleibol,33.0,89.8,192.0,87.0,7.1,6.42,DEFENSA
Ignacio Peña,Boxeo,39.0,103.2,169.0,52.0,15.2,3.98,CICLISTA
Patricia Ramos,Fútbol,33.0,86.3,160.0,50.0,18.8,2.87,CICLISTA
Natalia Cruz,Tenis,28.0,62.0,183.0,87.0,23.8,5.552869109947644,nadador
Manuel Leal,Baloncesto,31.12930135557873,60.1,177.0,84.0,24.5,9.89,mediocampista
Isabella Castro,Tenis,26.0,89.2,184.0,84.0,14.1,1.21,CORREDOR
Camila Díaz,Tenis,33.0,77.1,170.0,79.0,19.3,1.84,Corredor
Gonzalo Fuentes,Tenis,19.0,72.0,172.0,57.0,11.2,6.61,portero
Camila Díaz,Atletismo,35.0,104.0,194.0,72.0,20.6,9.0,Portero
Sofía Hernández,Atletismo,34.0,76.4,174.0,45.0,19.5,9.22,atacante
Felipe Muñoz,Fútbol,22.0,61.1,195.0,86.0,17.7,2.33,Nadador
Roberto Castillo,Fútbol,39.0,55.6,188.0,85.0,6.9,9.11,nadador
María González,Atletismo,16.0,87.7,187.0,87.0,20.6,2.07,
Mauricio Vega,Rugby,30.0,99.0,189.0,47.0,0.1,1.75,corredor
Nicolás Reyes,Atletismo,30.0,92.0,194.0,63.0,23.4,7.91,portero
César Sepúlveda,Fútbol,43.0,89.3,181.0,49.0,10.0,1.77,atacante
Juan López,Natación,37.0,99.4,187.0,10.0,8.0,4.8,delantero 
Diego Torres,Baloncesto,35.0,101.9,169.0,69.50026329647183,0.1,8.34,Ciclista
Catalina Mora,Natación,16.0,104.1,179.5617088607595,83.0,22.9,5.32,Delantero
Natalia Cruz,Atletismo,21.0,60.2,199.0,52.0,6.6,4.35,portero
Mónica Ortega,Boxeo,24.0,84.2,185.0,69.50026329647183,6.2,9.73,Mediocampista
Enrique Valenzuela,Rugby,31.0,69.2,198.0,60.0,12.6,7.37,ATACANTE
Tomás Gutiérrez,Rugby,26.0,71.0,173.0,70.0,7.4,1.24,Atacante
Sebastián Rojas,Natación,28.0,99.1,194.0,50.0,11.2,3.81,nadador
Paola Romero,Fútbol,27.0,61.1,177.0,77.0,4.4,5.23,MEDIOCAMPISTA
Tomás Gutiérrez,Tenis,31.12930135557873,88.3,195.0,68.0,13.4,8.52,defensa
Enrique Valenzuela,Ciclismo,21.0,73.2,160.0,50.0,17.7,5.552869109947644,Atacante
Luis Parra,Natación,16.0,100.1,197.0,76.0,7.3,3.03,DELANTERO
Gabriela Morales,Baloncesto,31.12930135557873,61.6,175.0,69.50026329647183,9.9,1.59,Portero
Alicia Campos,Ciclismo,17.0,91.6,186.0,69.50026329647183,15.9,7.1,DELANTERO
Claudia Herrera,Baloncesto,26.0,92.0,179.0,67.0,5.4,8.44,
Sebastián Rojas,Rugby,19.0,96.9,195.0,69.0,3.6,5.552869109947644,CORREDOR
Gonzalo Fuentes,Voleibol,28.0,96.5,202.0,71.0,4.1,5.44,MEDIOCAMPISTA
Daniela Vargas,Ciclismo,44.0,64.3,184.0,66.0,13.2,7.98,
Ana Martínez,Tenis,36.0,81.4,192.0,55.0,17.5,7.48,Atacante
Catalina Mora,Atletismo,21.0,68.2,195.0,82.0,16.3,6.62,DELANTERO
Nicolás Reyes,Voleibol,43.0,97.2,165.0,75.0,8.4,3.95,Ciclista
Alejandro Núñez,Rugby,38.0,65.0,194.0,89.0,17.5,7.7,delantero
Alicia Campos,Natación,32.0,72.9,184.0,76.0,5.0,2.69,Defensa
Alicia Campos,Natación,25.0,91.8,184.0,57.0,16.2,5.04,ciclista
Daniela Vargas,Atletismo,42.0,94.2,192.0,57.0,5.6,8.19,portero
Camila Díaz,Baloncesto,34.0,87.1,177.0,69.0,14.6,9.91,Atacante
Alejandro Núñez,Fútbol,33.0,92.4,164.0,57.0,16.5,6.94,Mediocampista
